"Name","Party","Votes","Seat","City","Year"
"Muhammad Saleh Shah","Independent","6904",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Azizul Hassan","Independent","2456",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Hazrat Khan","Independent","2159",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Gul Hassan","Independent","1582",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Ghalib Khan","Independent","1140",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Said Asghar","Independent","971",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Zafarullah Khan","Independent","882",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Faridullah Khan","Independent","542",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Noor Zaman","Independent","345",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Niaz Mohammad","Independent","292",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Allah Noor","Independent","188",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Azizullah","Independent","164",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Nisar Ahmad Nisar","Independent","158",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Jalal Khan","Independent","136",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Muhammad Rafique","Independent","78",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Sardar Hassan","Independent","42",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Muhammad Farooq","Independent","37",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Ghulam Haider","Independent","27",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Feroz Khan","Independent","25",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Atlas Khan","Independent","14",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Abdul Manan","Independent","13",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Zubair Khan","Independent","10",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Muhammad Jehangir","Independent","10",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Muhammad Usman","Independent","5",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Aamanullah","Independent","3",41,"&#13;
      Complete Result of NA41 Tribal Area",2002
"Muhammad Miraj-ud-Din","Independent","12360",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
"General Alam Jan Masood","Independent","5027",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
"Qazi Salim Khan","Independent","4382",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
"Sher Muhammad","Independent","2332",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
"Yar Muhammad Shabi Khelh Mahsood","Independent","2279",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
"Major ® Muhammad Zaman","Independent","1503",42,"&#13;
      Complete Result of NA42 Tribal Area",2002
